hh1,hh2,b04_district,strate,b05_region,b06_departemen,b07_souspref,b08_commune,b09_zd,b10_nomvillag,b11_quartcpt,milieu,department,density,_merge
235,2,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,communal,1038,ABENGOUROU,RESIDENTIEL,Urbain,abengourou,83.06103286384976,Matched (3)
248,5,4,indenie-djuablin,indenie-djuablin,abengourou,niable,non communal,60290,AFFALIKRO,,Rural,abengourou,83.06103286384976,Matched (3)
252,4,4,indenie-djuablin,indenie-djuablin,abengourou,zaranou,non communal,60090,BEBOU,AGNIKRO,Rural,abengourou,83.06103286384976,Matched (3)
242,7,4,indenie-djuablin,indenie-djuablin,abengourou,amelekia,non communal,60080,,,Rural,abengourou,83.06103286384976,Matched (3)
244,1,4,indenie-djuablin,indenie-djuablin,abengourou,aniassue,non communal,60190,ANEKOUADIOKRO,NOUVEAU QUARTIER,Rural,abengourou,83.06103286384976,Matched (3)
239,2,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,non communal,60170,DRAMANEKRO,DRAMANEKRO,Rural,abengourou,83.06103286384976,Matched (3)
235,6,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,communal,300,ABENGOUROU,RESIDENTIEL,Urbain,abengourou,83.06103286384976,Matched (3)
247,11,4,indenie-djuablin,indenie-djuablin,abengourou,niable,non communal,60270,AFFALIKRO,ASSEKRO,Rural,abengourou,83.06103286384976,Matched (3)
238,5,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,communal,1130,ABENGOUROU,MOSSIKRO,Urbain,abengourou,83.06103286384976,Matched (3)
246,5,4,indenie-djuablin,indenie-djuablin,abengourou,niable,non communal,60090,KOUAKOU N DRAMANKRO,,Rural,abengourou,83.06103286384976,Matched (3)
234,10,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,communal,70,ABENGOUROU,RESIDENTIEL EXTENSION,Urbain,abengourou,83.06103286384976,Matched (3)
237,7,4,indenie-djuablin,indenie-djuablin,abengourou,abengourou,communal,810,ABENGOUROU,BELLE VILLE1,Urbain,abengourou,83.06103286384976,Matched (3)
244,12,4,indenie-djuablin,indenie-djuablin,abengourou,aniassue,non communal,60190,ANEKOUADIOKRO,NOUVEAU QUARTIER,Rural,abengourou,83.06103286384976,Matched (3)
244,4,4,indenie-djuablin,indenie-djuablin,abengourou,aniassue,non communal,60190,ANEKOUADIOKRO,NOUVEAU QUARTIER,Rural,abengourou,83.06103286384976,Matched (3)
