latitude,longitude,id,age,female,group,next_latitude,next_longitude,dist_next,total_enum_distance
.60821289,44.579941,733,31,1,1,.6084851,44.581501,.1762612726724722,.35625479
.6084851,44.581501,725,61,1,1,.6084851,44.581501,0,.35625479
.6084851,44.581501,727,41,0,1,.6084851,44.581501,0,.35625479
.6084851,44.581501,726,44,0,1,.60877842,44.582569,.1232396628338439,.35625479
.60877842,44.582569,736,56,0,1,.60827738,44.58268,.0567538637844861,.35625479
.60827738,44.58268,712,44,0,1,,,,.35625479
.6089583,44.578091,709,43,1,2,.60909343,44.578941,.0958631948784235,.67352289
.60909343,44.578941,737,67,1,2,.60909343,44.578941,0,.67352289
.60909343,44.578941,738,57,1,2,.60882747,44.583271,.4828472679553852,.67352289
.60882747,44.583271,682,37,1,2,.60902947,44.584099,.0948124427232853,.67352289
.60902947,44.584099,656,57,1,2,.60902947,44.584099,0,.67352289
.60902947,44.584099,655,46,1,2,,,,.67352289
.6104117,44.579681,671,42,0,3,.60928673,44.579769,.1247765773377967,.59694523
.60928673,44.579769,722,37,0,3,.61008769,44.58033,.1083525894550042,.59694523
.61008769,44.58033,739,65,0,3,.6100325,44.582699,.2637635156897544,.59694523
.6100325,44.582699,662,37,1,3,.60971868,44.583542,.1000525165358463,.59694523
.60971868,44.583542,748,37,0,3,.60971868,44.583542,0,.59694523
.60971868,44.583542,749,50,1,3,,,,.59694523
.6104117,44.579681,670,67,0,4,.61051917,44.584122,.4944077409155589,.63042623
.61051917,44.584122,668,39,1,4,.61051917,44.584122,0,.63042623
.61051917,44.584122,669,36,0,4,.61082578,44.584759,.0786002118452988,.63042623
.61082578,44.584759,745,44,0,4,.61082578,44.584759,0,.63042623
.61082578,44.584759,744,70,0,4,.6108954,44.58527,.057418276458612,.63042623
.6108954,44.58527,711,63,0,4,,,,.63042623
.61091751,44.57674,716,61,1,5,.61091751,44.57674,0,.89780051
.61091751,44.57674,715,35,1,5,.61091751,44.57674,0,.89780051
.61091751,44.57674,717,40,0,5,.61106801,44.583939,.8014423873132136,.89780051
.61106801,44.583939,734,37,0,5,.61189181,44.584221,.096358101227552,.89780051
.61189181,44.584221,704,49,1,5,.61189181,44.584221,0,.89780051
.61189181,44.584221,702,55,0,5,,,,.89780051
.61429888,44.572479,763,62,1,6,.61373168,44.573299,.1107618668179135,1.7241161
.61373168,44.573299,756,68,0,6,.61373168,44.573299,0,1.7241161
.61373168,44.573299,757,46,0,6,.6140483,44.57394,.0794650470796626,1.7241161
.6140483,44.57394,747,56,1,6,.61189181,44.584221,1.16894656115608,1.7241161
.61189181,44.584221,703,62,1,6,.61419332,44.586571,.3649425867411481,1.7241161
.61419332,44.586571,681,55,1,6,,,,1.7241161
.61429888,44.572479,764,30,0,7,.6149652,44.573299,.1173164128933695,.42337006
.6149652,44.573299,708,54,0,7,.61544001,44.57431,.1241713129749728,.42337006
.61544001,44.57431,701,68,1,7,.61545002,44.574322,.0016878260189627,.42337006
.61545002,44.574322,719,59,1,7,.61431301,44.575481,.1801945212546521,.42337006
.61431301,44.575481,723,59,1,7,.61431301,44.575481,0,.42337006
.61431301,44.575481,724,40,0,7,,,,.42337006
.61670828,44.573181,695,41,1,8,.61664999,44.57325,.0099983588641696,1.8826318
.61664999,44.57325,696,59,1,8,.61616361,44.573502,.0606445380729113,1.8826318
.61616361,44.573502,672,66,0,8,.61754829,44.589722,1.811988853110152,1.8826318
.61754829,44.589722,751,62,0,8,.61754829,44.589722,0,1.8826318
.61754829,44.589722,750,51,0,8,.61754829,44.589722,0,1.8826318
.61754829,44.589722,752,49,0,8,,,,1.8826318
.61828327,44.57597,657,47,1,9,.61796999,44.5788,.3169708032048325,1.2694316
.61796999,44.5788,710,58,1,9,.61761999,44.579891,.1274603555347236,1.2694316
.61761999,44.579891,718,68,1,9,.61778003,44.582661,.3087857082872134,1.2694316
.61778003,44.582661,743,46,0,9,.6175617,44.586128,.3867389693685467,1.2694316
.6175617,44.586128,661,62,1,9,.61772329,44.58728,.1294757169875679,1.2694316
.61772329,44.58728,753,39,1,9,,,,1.2694316
.61861998,44.573158,713,34,1,10,.61861998,44.573158,0,1.0496596
.61861998,44.573158,714,69,1,10,.61859721,44.575008,.2059587912582583,1.0496596
.61859721,44.575008,667,60,0,10,.61828327,44.57597,.1124954789616196,1.0496596
.61828327,44.57597,658,60,1,10,.61828673,44.582539,.7312053796594699,1.0496596
.61828673,44.582539,689,63,0,10,.61828673,44.582539,0,1.0496596
.61828673,44.582539,688,67,0,10,,,,1.0496596
.61897999,44.580238,659,59,0,11,.6192317,44.581711,.1662517885609692,.97459012
.6192317,44.581711,686,40,1,11,.6196804,44.582298,.082084222208422,.97459012
.6196804,44.582298,692,51,0,11,.6196804,44.582298,0,.97459012
.6196804,44.582298,693,46,0,11,.6196804,44.582298,0,.97459012
.6196804,44.582298,694,65,0,11,.61886168,44.588772,.7262540958215029,.97459012
.61886168,44.588772,677,31,1,11,,,,.97459012
.61995649,44.57703,754,62,0,12,.61995649,44.57703,0,1.3891145
.61995649,44.57703,755,36,1,12,.6197533,44.5867,1.0766600307749,1.3891145
.6197533,44.5867,665,44,1,12,.6197533,44.5867,0,1.3891145
.6197533,44.5867,664,39,0,12,.6197533,44.5867,0,1.3891145
.6197533,44.5867,666,61,0,12,.62007672,44.589489,.3124544661762266,1.3891145
.62007672,44.589489,687,56,0,12,,,,1.3891145
.62080282,44.577469,675,63,1,13,.62080282,44.577469,0,1.0164009
.62080282,44.577469,674,55,0,13,.62018329,44.58287,.6051594499271236,1.0164009
.62018329,44.58287,728,70,0,13,.62018329,44.58287,0,1.0164009
.62018329,44.58287,729,58,0,13,.62081671,44.58551,.3020728320728751,1.0164009
.62081671,44.58551,720,37,1,13,.62079,44.586491,.1091686602025473,1.0164009
.62079,44.586491,765,39,0,13,,,,1.0164009
