region,district,ward_15,ward_10,ward_type,ward_id
arusha,jiji la arusha,moivaro,,3,1
arusha,jiji la arusha,muriet,,3,2
arusha,jiji la arusha,olmoti,,3,3
arusha,jiji la arusha,osunyai jr,,3,4
arusha,jiji la arusha,sakina,,3,5
arusha,jiji la arusha,sinoni,,3,6
arusha,wilaya ya arusha,ilboru,,3,7
arusha,wilaya ya arusha,kiutu,,3,8
arusha,wilaya ya arusha,laroi,,3,9
arusha,wilaya ya arusha,lemanyata,,3,10
arusha,wilaya ya arusha,mateves,,3,11
arusha,wilaya ya arusha,oldonyowass,,3,12
arusha,wilaya ya arusha,tarakwa,,3,13
arusha,wilaya ya longido,ketumbeine,,3,14
arusha,wilaya ya longido,matale a,,3,15
arusha,wilaya ya longido,noondoto,,3,16
arusha,wilaya ya longido,sinya,,3,17
arusha,wilaya ya meru,ambureni,,3,18
arusha,wilaya ya meru,imbaseny,,3,19
arusha,wilaya ya meru,majengo,,3,20
arusha,wilaya ya meru,makiba,,3,21
arusha,wilaya ya meru,malula,,3,22
arusha,wilaya ya meru,maruvango,,3,23
arusha,wilaya ya meru,ngabobo,,3,24
arusha,wilaya ya meru,nkoanekoli,,3,25
arusha,wilaya ya meru,shambarai burka,,3,26
arusha,wilaya ya meru,uwiro,,3,27
arusha,wilaya ya monduli,lashaine,,3,28
arusha,wilaya ya monduli,lemooti,,3,29
arusha,wilaya ya monduli,mfereji,,3,30
arusha,wilaya ya monduli,migungani,,3,31
arusha,wilaya ya monduli,naalarami,,3,32
arusha,wilaya ya ngorongoro,alaitolei,,3,33
arusha,wilaya ya ngorongoro,enduleni,,3,34
arusha,wilaya ya ngorongoro,engaresero,,3,35
arusha,wilaya ya ngorongoro,eyasi,,3,36
arusha,wilaya ya ngorongoro,kirangi,,3,37
arusha,wilaya ya ngorongoro,misigyo,,3,38
arusha,wilaya ya ngorongoro,ngoile,,3,39
arusha,wilaya ya ngorongoro,orgosorock,,3,40
arusha,wilaya ya ngorongoro,piyaya,,3,41
dar es salaam,manispaa ya ilala,bonyokwa,,3,42
dar es salaam,manispaa ya ilala,buyuni,,3,43
dar es salaam,manispaa ya ilala,kipunguni,,3,44
dar es salaam,manispaa ya ilala,kisukuru,,3,45
dar es salaam,manispaa ya ilala,liwiti,,3,46
dar es salaam,manispaa ya ilala,minazi mirefu,,3,47
dar es salaam,manispaa ya ilala,mnyamani,,3,48
dar es salaam,manispaa ya ilala,mzinga,,3,49
dar es salaam,manispaa ya ilala,pugu station,,3,50
dar es salaam,manispaa ya ilala,zingiziwa,,3,51
dar es salaam,manispaa ya temeke,kibondemaji,,3,52
dar es salaam,manispaa ya temeke,kilungule,,3,53
dodoma,manispaa ya dodoma,hombolo bwawani,,3,54
dodoma,manispaa ya dodoma,hombolo makulu,,3,55
dodoma,manispaa ya dodoma,ihumwa,,3,56
dodoma,manispaa ya dodoma,matumbulu,,3,57
dodoma,manispaa ya dodoma,ngongonha,,3,58
dodoma,manispaa ya dodoma,nkuhungu,,3,59
dodoma,mji kondoa,bolisa,,3,60
dodoma,mji kondoa,chemchem,,3,61
dodoma,mji kondoa,kilimani,,3,62
dodoma,mji kondoa,kingale,,3,63
dodoma,mji kondoa,kolo,,3,64
dodoma,mji kondoa,kondoa mjini,,3,65
dodoma,mji kondoa,serya,,3,66
dodoma,mji kondoa,suruke,,3,67
dodoma,wilaya ya bahi,mpinga,,3,68
dodoma,wilaya ya bahi,zanka,,3,69
dodoma,wilaya ya chamwino,chamwino,,3,70
dodoma,wilaya ya chamwino,ikombolinga,,3,71
dodoma,wilaya ya chamwino,mlowa barabarani,,3,72
dodoma,wilaya ya chamwino,mpwayungu,,3,73
dodoma,wilaya ya chamwino,mvumi misheni,,3,74
dodoma,wilaya ya chamwino,nghahelezi,,3,75
dodoma,wilaya ya chemba,babayu,,3,76
dodoma,wilaya ya chemba,chandama,,3,77
dodoma,wilaya ya chemba,chemba,,3,78
dodoma,wilaya ya chemba,churuku,,3,79
dodoma,wilaya ya chemba,dalai,,3,80
dodoma,wilaya ya chemba,farkwa,,3,81
dodoma,wilaya ya chemba,goima,,3,82
dodoma,wilaya ya chemba,gwandi,,3,83
dodoma,wilaya ya chemba,jangalo,,3,84
dodoma,wilaya ya chemba,kidoka,,3,85
dodoma,wilaya ya chemba,kimaha,,3,86
dodoma,wilaya ya chemba,kinyamsindo,,3,87
dodoma,wilaya ya chemba,kwamtoro,,3,88
dodoma,wilaya ya chemba,lahoda,,3,89
dodoma,wilaya ya chemba,lalta,,3,90
dodoma,wilaya ya chemba,makorongo,,3,91
dodoma,wilaya ya chemba,mondo,,3,92
