id,label,formids,users,age,gender,continent,country,num_calls,last_survey_status
fgc-49015,fgc-user_1,fgc_week6,covid19.studentsurvey@gmail.com,,,,,,
fgc-49016,fgc-user_2,fgc_week6,covid19.studentsurvey@gmail.com,,,,,,
fgc-49017,fgc-user_3,fgc_week6,covid19.studentsurvey@gmail.com,,,,,,
fgc-49018,fgc-user_4,fgc_week6,covid19.studentsurvey@gmail.com,,,,,,
fgc-49019,fgc-user_5,fgc_week6,covid19.studentsurvey@gmail.com,,,,,,
fgc-49020,fgc-user_6,fgc_week6,covid19.studentsurvey@gmail.com,,,,,,
fgc-49021,fgc-user_7,fgc_week6,covid19.studentsurvey@gmail.com,,,,,,
fgc-49022,fgc-user_8,fgc_week6,covid19.studentsurvey@gmail.com,,,,,,
fgc-49023,fgc-user_9,fgc_week6,covid19.studentsurvey@gmail.com,,,,,,
fgc-49024,fgc-user_10,fgc_week6,covid19.studentsurvey@gmail.com,,,,,,
