id,label,formids,users
glp01,Alpha,glp_week6,covid19.studentsurvey@gmail.com
glp02,Bravo,glp_week6,covid19.studentsurvey@gmail.com
glp03,Charlie,glp_week6,covid19.studentsurvey@gmail.com
glp04,Delta,glp_week6,covid19.studentsurvey@gmail.com
glp05,Echo,glp_week6,covid19.studentsurvey@gmail.com
glp06,Foxtrot,glp_week6,covid19.studentsurvey@gmail.com
glp07,Golf,glp_week6,covid19.studentsurvey@gmail.com
glp08,Hotel,glp_week6,covid19.studentsurvey@gmail.com
glp09,India,glp_week6,covid19.studentsurvey@gmail.com
glp10,Juliet,glp_week6,covid19.studentsurvey@gmail.com
