id,label,formids,users,num_calls,last_survey_status
nbs01,Person 1,nbs_week6,covid19.studentsurvey@gmail.com,,
nbs02,Person 2,nbs_week6,covid19.studentsurvey@gmail.com,,
nbs03,Person 3,nbs_week6,covid19.studentsurvey@gmail.com,,
nbs04,Person 4,nbs_week6,covid19.studentsurvey@gmail.com,,
nbs05,Person 5,nbs_week6,covid19.studentsurvey@gmail.com,,
nbs06,Person 6,nbs_week6,covid19.studentsurvey@gmail.com,,
nbs07,Person 7,nbs_week6,covid19.studentsurvey@gmail.com,,
nbs08,Person 8,nbs_week6,covid19.studentsurvey@gmail.com,,
nbs09,Person 9,nbs_week6,covid19.studentsurvey@gmail.com,,
nbs10,Person 10,nbs_week6,covid19.studentsurvey@gmail.com,,
