i,beta,beta_hat,beta_hat_c0,beta_hat_c1,difference,difference_c0,difference_c1,y,mean_difference,mean_difference_c0,mean_difference_c1
1,11.541588,11.573253,10.576126,12.570379,-.031664848,.96546173,-1.0287914,0,-.031664848,.96546173,-1.0287914
2,11.459294,10.534372,9.5491285,11.519616,.92492199,1.9101658,-.060321808,0,.44662857,1.4378138,-.54455662
3,11.460067,10.199252,9.2311554,11.16735,1.2608147,2.2289114,.29271698,0,.71802396,1.7015129,-.26546541
4,11.632811,11.814058,10.838064,12.790052,-.18124771,.7947464,-1.1572418,0,.49320602,1.4748213,-.48840952
5,11.695754,11.116116,10.112288,12.119944,.57963848,1.5834665,-.42418957,0,.5104925,1.4965503,-.47556552
6,11.198552,11.200304,10.254505,12.146103,-.0017518997,.94404697,-.94755077,0,.42511845,1.4044665,-.55422974
7,11.638011,11.25457,10.267245,12.241894,.38344097,1.3707657,-.60388279,0,.41916451,1.3996521,-.56132305
8,11.323663,11.638065,10.667552,12.60858,-.31440258,.65611076,-1.2849169,0,.32746863,1.3067094,-.65177226
9,11.276135,11.003216,9.9951668,12.011264,.27291965,1.2809687,-.7351284,0,.32140765,1.3038493,-.66103405
10,11.394933,11.487125,10.490008,12.484243,-.09219265,.90492439,-1.0893106,0,.2800476,1.2639568,-.70386171
11,11.455984,11.934293,10.942632,12.925953,-.47830868,.51335239,-1.4699688,0,.21110612,1.1957201,-.77350783
12,11.179575,12.17394,11.185373,13.162506,-.99436474,-.0057983398,-1.9829311,0,.11065022,1.0955936,-.87429309
13,11.531166,12.559223,11.513815,13.60463,-1.0280571,.017351151,-2.0734644,0,.023057351,1.0126518,-.96653706
14,11.436443,11.216639,10.212411,12.220866,.21980476,1.2240324,-.78442287,0,.037110738,1.0277504,-.95352888
15,11.4912,11.815355,10.872894,12.757816,-.32415485,.61830616,-1.2666159,0,.013026365,1.0004542,-.97440135
16,11.180079,11.074624,10.139346,12.009903,.1054554,1.0407333,-.82982349,0,.018803179,1.0029716,-.96536523
17,11.752831,11.373157,10.389034,12.357278,.37967396,1.3637962,-.60444736,0,.040030871,1.0241966,-.94413477
18,11.429395,10.963362,9.9864674,11.940257,.46603298,1.4429274,-.51086235,0,.063697658,1.0474594,-.92006409
19,11.368374,11.439999,10.480821,12.399178,-.071624756,.88755322,-1.0308037,0,.056575425,1.0390433,-.92589247
20,11.231691,11.783706,10.757024,12.810389,-.55201435,.47466755,-1.5786972,0,.026145935,1.0108244,-.95853269
21,11.491657,11.410962,10.386369,12.435555,.080695152,1.1052885,-.9438982,0,.028743517,1.0153228,-.95783585
22,11.472486,11.820909,10.849353,12.792465,-.34842205,.62313366,-1.3199787,0,.011599627,.99749601,-.97429687
23,11.59205,11.142717,10.14136,12.144074,.44933224,1.4506893,-.55202484,0,.030631481,1.0172001,-.95593721
24,11.396581,10.778283,9.8389902,11.717575,.61829758,1.5575905,-.32099438,0,.055117566,1.0397164,-.92948127
25,11.395638,11.941387,10.961617,12.921158,-.54574966,.434021,-1.5255203,0,.031082878,1.0154885,-.95332283
26,11.540503,11.23588,10.267602,12.204158,.30462265,1.2729006,-.66365528,0,.04160364,1.025389,-.94218177
27,11.70376,11.579629,10.588835,12.570422,.1241312,1.1149254,-.86666203,0,.044660214,1.0287051,-.93938476
28,11.267286,11.289567,10.315704,12.26343,-.022280693,.95158195,-.99614334,0,.042269468,1.0259508,-.94141185
29,11.038342,10.991376,10.025138,11.957615,.046965599,1.0132036,-.91927338,0,.042431403,1.0255111,-.94064844
30,11.475583,11.802805,10.833006,12.772605,-.32722187,.64257717,-1.2970219,0,.030109627,1.0127467,-.95252758
31,11.535722,11.377123,10.395427,12.35882,.1585989,1.140295,-.82309818,0,.034254443,1.0168612,-.9483524
32,11.440825,11.610837,10.618557,12.603117,-.17001247,.82226753,-1.1622925,0,.027871102,1.0107801,-.95503807
33,11.499877,10.846406,9.8400373,11.852774,.65347099,1.6598396,-.35289669,0,.046828676,1.0304486,-.93679136
34,11.60157,11.666208,10.644721,12.687696,-.064638138,.9568491,-1.0861254,0,.043550238,1.028284,-.94118351
