i,n,b_age,b_educ_yrs,b_dist_from_city,b_family_size,b_experience
1,50,.65252513,2.390507,-.082719028,.80995977,2.1468205
2,50,.44139373,1.5943589,-.33168128,.36758882,2.0197685
3,50,.64414245,1.3529909,-.28453329,1.6321816,2.1138759
4,50,.3836579,1.9423013,-.35975918,1.5931083,1.990289
5,50,.48809436,1.5974585,-.22767784,1.4627311,1.9221588
6,50,.56427163,1.6610949,-.21974224,.78589195,2.0246446
7,50,.67468059,1.2293053,-.37652695,.64528131,1.9707857
8,50,.29617527,.92108631,-.58153546,.70965225,2.1942983
9,50,.43620703,1.1038362,-.41089937,.75556612,2.0314081
10,50,.57963699,2.0451989,-.17721204,.75567061,2.0925977
11,50,.54731214,1.4691139,-.48684016,.99062133,2.0031292
12,50,.66550249,2.0720317,-.15387687,1.0119689,2.0723848
13,50,.47753105,1.740051,-.170633,1.4638425,2.1556046
14,50,.69920808,1.7332793,-.17618445,.26645786,2.0949936
15,50,.45833507,.97613978,-.47422966,1.4497051,2.0593219
16,50,.7739386,1.592979,-.27674863,1.1899879,1.9177506
17,50,.73257035,1.660394,-.030562527,1.9793795,1.9734864
18,50,.5776729,1.1464914,-.32502538,1.4262997,1.8976885
19,50,.24714625,1.4211245,-.30496424,1.4914528,2.2384875
20,50,.70364946,1.575763,-.22965889,1.6374222,2.079402
21,50,.42630738,1.1824652,-.37634626,1.139761,1.918825
22,50,.4484008,1.720329,-.34485534,.96142638,1.9775608
23,50,.69669521,.88332862,-.52047354,.318546,1.9445094
24,50,.33259773,1.5635155,-.42664009,.57739449,2.0959051
25,50,.62836599,1.8164417,-.13912974,1.1409426,1.9703577
26,50,.32701385,1.3608708,-.46133003,-.022785032,2.0689213
27,50,.65560263,1.91636,-.20486964,.71520257,1.947019
28,50,.43823427,1.6077073,-.39803541,1.2185719,2.0200188
29,50,.39425808,1.6922357,-.23804916,.69078165,1.9693544
30,50,.64452243,1.0950968,-.27612099,1.5243605,2.0240426
31,50,.43928719,1.5162492,-.45000669,.65866935,1.8705938
32,50,.58562452,1.7258244,-.36470285,1.4429418,1.8823613
33,50,.44244483,1.476856,-.19700941,1.894547,1.9849957
34,50,.54472762,1.6551596,-.39250192,1.5007991,1.8693624
35,50,.52598095,1.1778102,-.43504065,1.0800163,1.9699396
36,50,.34556454,.86076456,-.44284108,.40870634,2.1954257
37,50,.22880326,1.4685134,-.34482732,1.4471701,2.0550339
38,50,.57140356,1.3445609,-.40866578,1.3843664,1.988524
39,50,.42619717,.94591725,-.50340337,.865008,1.9315588
40,50,.46810725,1.1134825,-.37627041,.36952025,2.0409646
41,50,.69535083,1.7511085,-.2464757,.80114049,1.8106631
42,50,.58367401,1.3416191,-.28990325,1.7154951,1.8967277
43,50,.57694292,1.3326671,-.39153644,1.6254112,2.0020771
44,50,.59775984,1.2768276,-.37513635,.72798336,1.6937813
45,50,.69112402,1.6460452,-.25172859,1.9534798,1.9651036
46,50,.4875178,1.4709995,-.33148766,1.4691939,2.0161517
47,50,.47127673,1.6628253,-.31788468,.55117756,2.190196
48,50,.58969837,1.2281761,-.36269847,.2242474,1.95166
49,50,.56378216,2.1270061,-.22536889,.020173818,1.9522008
50,50,.45931274,1.8384727,-.36315328,1.2695589,1.994929
51,50,.63846844,1.0825218,-.29704374,1.2916843,1.9549932
52,50,.63997459,2.2988858,-.23046671,1.0691756,2.0769765
53,50,.45924696,1.1858685,-.27427834,.37260795,2.1286013
54,50,.55778301,1.8303301,-.18734689,.090457954,2.0386686
55,50,.53924352,1.5688758,-.44684184,.76781011,1.851666
56,50,.52188665,1.8066537,-.40696272,.55635458,2.017077
57,50,.4902226,1.1428801,-.35323495,1.5256555,1.9630401
58,50,.55835813,1.6653215,-.50674164,.9908163,1.8789244
59,50,.49382424,.83446944,-.33685908,1.9203937,2.0157297
60,50,.65864491,1.2401559,-.25138405,1.2758515,1.7745335
61,50,.40701205,1.5274125,-.32316148,.49045476,2.160917
62,50,.41020384,.94400883,-.32725179,1.4083121,2.0110514
63,50,.44119492,1.2630028,-.22621647,.695265,2.0683703
64,50,.80655205,1.7635267,-.40622085,.91498131,1.75963
65,50,.52623808,1.7646689,-.28034973,.47721639,1.7694366
66,50,.58096021,1.4781839,-.16492841,.72199982,2.0446131
67,50,.35740146,1.9449461,-.099844299,1.2304953,2.025084
68,50,.37854967,1.1139749,-.38152182,.43133292,1.9325879
69,50,.53529412,1.377786,-.330075,.6465295,1.8375555
70,50,.73947966,1.2784057,-.37082404,1.5105944,2.1655061
71,50,.31987986,1.5037246,-.27656779,1.8834518,2.0659661
72,50,.62298673,1.7462771,-.36669907,1.4723225,1.8463919
73,50,.68822497,1.2550075,-.41136557,-.051179651,1.8502588
74,50,.68363512,1.5219547,-.34630546,-.019792056,1.783088
75,50,.5524407,.67152691,-.359357,.94818777,2.1189325
76,50,.55940074,1.4355685,-.43505433,.69627064,1.9237094
77,50,.47518051,1.9847621,-.19950683,.27645758,1.9917957
78,50,.50667679,1.5183529,-.073376253,1.3095486,2.1546297
79,50,.63145363,.80965596,-.48252687,1.020485,1.9984003
80,50,.68322098,1.8117137,-.36449718,2.612546,2.0400894
81,50,.69189006,1.6336782,-.12280384,1.9525356,1.8025341
82,50,.45131621,1.3984348,-.35112616,.41749918,2.0831981
83,50,.57932913,2.0494096,-.30923724,1.7411634,1.9980137
84,50,.39696455,1.689377,-.29886138,.99610704,1.9901934
85,50,.37847745,1.2087268,-.21264379,1.699663,1.7415135
86,50,.48039779,1.0483938,-.37096217,.94526315,2.0625918
87,50,.58872527,.79314351,-.16419047,.6064074,2.0493138
88,50,.79230648,1.3430173,-.49595052,1.1409941,1.7739495
89,50,.43447432,1.6399968,-.25586051,.76409805,2.0805178
90,50,.3840766,1.4641439,-.25548485,.016922781,2.1148694
91,50,.48168325,1.5839126,-.37493232,.35315734,2.0025606
92,50,.30094922,1.6958126,-.22288376,.036888897,2.0590577
93,50,.38865638,1.4924424,-.23596121,.61236,1.9835392
94,50,.71028858,1.5704653,-.16162714,1.5828997,1.723168
95,50,.58863205,1.2943153,-.15432216,.16768499,1.9205114
96,50,.44041243,1.4764659,-.30117348,1.1044071,1.9320898
97,50,.44370386,.97070509,-.34763092,.76034701,2.1730518
98,50,.59034139,1.4113923,-.46118313,.77101558,1.8103015
99,50,.53184617,2.055083,-.41462162,1.1823879,2.0966704
100,50,.47237051,1.2194144,-.36921272,.59798408,2.0971608
1,100,.55409324,1.8310313,-.26870623,1.3770801,1.9412749
