clusters,number_run,sample_size,b_gpa,se_gpa
1,1,20000,5005.4409,6.6125078
1,2,18500,4995.981,6.8789158
1,3,13250,5002.9175,8.19489
1,4,14250,4988.2817,7.8388877
1,5,15250,4998.2061,7.5859675
2,1,33500,4998.0513,5.2025208
2,2,37500,4997.4131,4.8297253
2,3,29750,5010.7148,5.4810224
2,4,36750,4996.8159,4.9125009
2,5,33750,5005.146,5.1222835
3,1,42000,5000.3989,4.5641375
3,2,31500,5010.8159,5.3125286
3,3,36250,5002.0791,4.9577599
3,4,38500,4994.9971,4.7797241
3,5,52250,5001.8345,4.1152039
4,1,54000,5011.7808,4.0630927
4,2,55250,4994.3921,3.9696755
4,3,53500,5005.606,4.0470943
4,4,51750,4998.4209,4.1459556
4,5,54500,4997.3374,4.0618744
5,1,74500,4998.0112,3.434073
5,2,73250,5001.3428,3.4824939
5,3,88500,4998.582,3.1724336
5,4,69750,5010.2178,3.5406415
5,5,63250,5003.8579,3.7476819
6,1,97250,5002.4341,3.0134649
6,2,81000,4997.7471,3.3146741
6,3,96000,5000.6289,3.0338321
6,4,84500,4997.9927,3.2433162
6,5,92250,5005.127,3.1079984
7,1,100750,5008.314,2.9571748
7,2,102500,4997.6143,2.9390244
7,3,97500,5002.9229,3.0119998
7,4,106000,5006.8447,2.9039621
7,5,119750,4996.4414,2.7077658
8,1,115750,5000.0103,2.7445667
8,2,128500,4997.4863,2.6261826
8,3,117750,5001.5386,2.7378142
8,4,117500,4996.1401,2.7467084
8,5,126750,4995.9033,2.6414208
9,1,132250,5000.436,2.5878687
9,2,140750,4997.5078,2.5005622
9,3,140500,5001.9927,2.5148172
9,4,116250,5000.0005,2.7431743
9,5,125250,4996.4463,2.6563981
10,1,142750,4997.2256,2.4771547
10,2,143750,4999.0156,2.4707806
10,3,145000,5000.6118,2.4687366
10,4,151750,5002.895,2.4212606
10,5,146250,5003.7441,2.4574959
11,1,167750,5000.5166,2.2986722
11,2,165000,5000.8638,2.3159673
11,3,174000,5001.6787,2.2472086
11,4,160250,4996.8345,2.3559608
11,5,156750,4999.2319,2.3805451
12,1,163250,5002.4297,2.3172603
12,2,162000,4997.583,2.3288136
12,3,180750,4999.2305,2.2035742
12,4,177750,4998.7969,2.2258925
12,5,167000,5000.9497,2.2946377
13,1,179250,5003.7524,2.2191355
13,2,186500,4997.4165,2.1855044
13,3,194000,5004.2007,2.1366274
13,4,207500,5000.7031,2.0635016
13,5,188750,5002.2266,2.1559162
14,1,199750,5000.7969,2.1074803
14,2,203500,4998.1401,2.0834367
14,3,186000,5000.9199,2.1746931
14,4,216250,5002.1636,2.0273321
14,5,199000,4997.0952,2.1010659
15,1,219750,4999.5654,1.9962571
15,2,219500,5000.7861,2.0033576
15,3,206250,4998.9653,2.0626216
15,4,234000,5003.3311,1.9449809
15,5,205500,4999.0073,2.0736864
16,1,216500,5000.6177,2.0185156
16,2,237000,5002.9595,1.9300121
16,3,216250,4998.0474,2.0161119
16,4,237500,4996.9878,1.9201624
16,5,211250,4995.4692,2.0421934
17,1,264750,4999.8311,1.8185881
17,2,253500,5000.7769,1.8587991
17,3,263500,4999.4897,1.8317338
17,4,246500,4998.377,1.8956245
17,5,248250,4998.8848,1.8830609
18,1,241750,4998.2896,1.9195822
18,2,263000,4999.439,1.8294632
18,3,261750,5001.3774,1.8357769
18,4,250000,4998.7935,1.8771741
18,5,252000,4998.4712,1.8739312
19,1,271000,5000.8506,1.8006064
19,2,274500,5000.4512,1.8005971
19,3,277500,4998.7383,1.7822098
19,4,259250,4998.0425,1.8392253
19,5,295000,4997.0244,1.731131
20,1,309250,4998.4541,1.6840159
20,2,285500,5000.5205,1.7602508
20,3,299750,5000.4424,1.7186644
20,4,283500,5000.9985,1.7633532
20,5,301500,4998.4985,1.7067688
