j,rho,icc,g,design
1,.0099999998,.0084306765,75.390388,1.2756023
2,.0099999998,.0054492033,74.565392,1.1835847
3,.0099999998,.010778231,76.073921,1.3450516
4,.0099999998,.0058529801,77.346054,1.2028515
5,.0099999998,.012961223,75.896629,1.4038347
6,.0099999998,.0063958643,75.945236,1.2162811
7,.0099999998,.0086984448,75.756035,1.2846249
8,.0099999998,.01176807,77.115456,1.3768559
9,.0099999998,.013173089,76.961037,1.4144404
10,.0099999998,.0095925685,76.211403,1.3120482
11,.0099999998,.0076982505,76.295479,1.2568387
12,.0099999998,.0079974532,75.966484,1.2647296
13,.0099999998,.009054156,75.972298,1.2956893
14,.0099999998,.009164894,76.158722,1.2995467
15,.0099999998,.0076942113,77.714561,1.2610543
16,.0099999998,.0048407945,75.987213,1.1674749
17,.0099999998,.0079159318,76.573746,1.2642138
18,.0099999998,.0096560474,75.857315,1.3125646
19,.0099999998,.010219947,76.366013,1.3305024
20,.0099999998,.0085115423,75.901169,1.279658
21,.0099999998,.012463908,76.481613,1.3931245
22,.0099999998,.010695971,75.968025,1.3423322
23,.0099999998,.0071828766,75.838409,1.2399819
24,.0099999998,.012551417,75.601418,1.3915292
25,.0099999998,.0096329469,76.987617,1.3160489
26,.0099999998,.014050982,76.423286,1.4351903
27,.0099999998,.0079214415,75.185066,1.2600209
28,.0099999998,.0050694854,75.243645,1.173191
29,.0099999998,.010158822,76.900215,1.3308105
30,.0099999998,.01148142,75.918999,1.3638829
31,.0099999998,.012278384,77.278984,1.3916115
32,.0099999998,.010016467,75.874344,1.3228668
33,.0099999998,.0093875229,76.716087,1.3079704
34,.0099999998,.013521394,76.852203,1.4232454
35,.0099999998,.0070483168,75.468994,1.2348608
36,.0099999998,.010968799,76.332306,1.3514085
37,.0099999998,.01144966,77.078964,1.3678737
38,.0099999998,.015518626,75.693649,1.4694022
39,.0099999998,.012424557,76.277817,1.3911482
40,.0099999998,.013867198,76.486031,1.4306571
41,.0099999998,.010177645,77.701302,1.3344058
42,.0099999998,.0092661418,74.514603,1.2966098
